model	genome
Ec_core_flux1	GCF_000005845.2
iJW145	GCF_000027345.1
iIT341_bigg2	GCF_000008525.1
iJL432	GCF_000008765.1
iAM388	GCF_000009085.1
iHZ565	GCF_000006965.1
iSB619_bigg2	GCF_000009645.1
iJR904	GCF_000005845.2
iCAC490	GCF_000008765.1
iLJ478	GCF_000008545.1
iAI558	GCF_000013105.1
iHN637	GCF_000143685.1
iCac802	GCF_000008765.1
iCac802_V_cobragitsengerpapou	GCF_000008765.1
iJP815	GCF_000007565.2
iJN746_bigg2	GCF_000007565.2
Nmb_iTM560	GCF_000008805.1
iIB700	GCF_000203835.1
iNJ661m	GCF_000195955.2
iNJ661v	GCF_000195955.2
iYO844	GCF_000009045.1
iRM588	GCF_000007985.2
iPC815	GCF_000009065.1
iBT721_v2	GCF_000203855.3
iWZ663	GCF_000223375.1
iRR1083	GCF_000006945.2
iNV706	GCF_000007785.1
GSMN-TB	GCF_000195955.2
iJS747	GCF_000007985.2
iJP962	GCF_000007565.2
C_tropcalis	GCF_000006335.2
iIN800	GCF_000146045.2
iMO1056	GCF_000006765.1
iAF1260	GCF_000005845.2
sMtb	GCF_000195955.2
STM_v1_0	GCF_000006945.2
STM_v1	GCF_000006945.2
iRsp1095	GCF_000012905.2
iMK1208	GCF_000203835.1
iJO1366_bigg2	GCF_000005845.2
msb201165-sup-0003	GCF_000005845.2
iMM904	GCF_000146045.2
yeast_6	GCF_000146045.2
yeast_7	GCF_000146045.2
iTO977	GCF_000146045.2
iNL895	GCF_000002525.2
iLC915	GCF_000027005.1
iOD907	GCF_000002515.2
iMP240	GCF_000022605.2
iCG238	GCF_000022605.2
iCG230	GCF_000093165.1
iJL480	GCF_000018125.1
iJC568	GCF_000011465.1
iMP429_fixed	GCF_000011825.1
iMR539	GCF_000011585.1
iBif452	GCF_000154085.1
iTT548	GCF_000008125.1
iNF518	GCF_000009425.1
iJB785	GCF_000012525.1
iJL846	GCF_000194785.1
iFap484	GCF_000162015.1
iAbaylyiv4	GCF_000046845.1
iJSPcarbinolicus	GCF_000012885.1
iMF721	GCF_000026085.1
iAF987	GCF_000012925.1
iSyn731	GCF_000009725.1
iHK760	GCF_000009725.1
iJSPpropionicus	GCF_000015045.1
iMLTC806cdf	GCF_000009205.1
iAF692	GCF_000195895.1
iMG746	GCF_000195895.1
iCR744	GCF_000013605.1
iECSF_1327	GCF_000010485.1
iCC908	GCF_000016425.1
iBWG_1329	GCF_000022345.1
iCyp752	GCF_000021805.1
iCyh755	GCF_000024045.1
iECDH10B_1368	GCF_000019425.1
iMZ1055	GCF_000225265.1
iCM925	GCF_000016965.1
iCyt773	GCF_000017845.1
iCce806	GCF_000017845.1
iVS941	GCF_000007345.1
iMB745	GCF_000007345.1
iYL1228	GCF_000016305.1
iCyn731	GCF_000022045.1
iSB1139	GCF_000009225.2
iAK692_auto	GCF_000307915.1
iRL766	GCF_000091025.4
iCyc792	GCF_000021825.1
iYLW1028	GCF_000237145.1
iMA871	GCF_000002855.3
iVW583	GCF_000182925.2
iJH728	GCF_000019485.1
iPB890	GCF_000013785.1